term_id,term_str,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max
0,,31063,0,0,,,,","
1,1,2,1,0,1,1,1,CD
2,1000,1,1,0,1000,1000,1000,CD
3,109,1,1,0,109,109,109,CD
4,11,3,1,0,11,11,11,CD
5,114,1,1,0,114,114,114,CD
6,1140,1,1,0,1140,1140,1140,CD
7,1186,1,1,0,1186,1186,1186,CD
8,11th,1,1,0,11th,11th,11th,CD
9,12,1,1,0,12,12,12,CD
10,120,2,1,0,120,120,120,CD
11,1200,1,1,0,1200,1200,1200,CD
12,1225,1,1,0,1225,1225,1225,CD
13,12th,1,1,0,12th,12th,12th,CD
14,13,1,1,0,13,13,13,CD
15,1350,1,1,0,1350,1350,1350,CD
16,13th,2,1,0,13th,13th,13th,CD
17,14,1,1,0,14,14,14,CD
18,1400,1,1,0,1400,1400,1400,CD
19,146,1,1,0,146,146,146,CD
20,149,1,1,0,149,149,149,CD
21,14th,1,1,0,14th,14th,14th,CD
22,15,1,1,0,15,15,15,CD
23,1580,1,1,0,1580,1580,1580,CD
24,165th,1,1,0,165th,165th,165th,CD
25,168,1,1,0,168,168,168,CD
26,1692,1,1,0,1692,1692,1692,CD
27,172,1,1,0,172,172,172,CD
28,1770,1,1,0,1770,1770,1770,CD
29,196,1,1,0,196,196,196,CD
30,2,6,1,0,2,2,2,CD
31,203,1,1,0,203,203,203,CD
32,207,1,1,0,207,207,207,CD
33,21,1,1,0,21,21,21,CD
34,215,1,1,0,215,215,215,CD
35,217th,1,1,0,217th,217th,217th,JJ
36,22,1,1,0,22,22,22,CD
37,220,1,1,0,220,220,220,CD
38,223,1,1,0,223,223,223,CD
39,23,3,1,0,23,23,23,CD
40,23½,2,1,0,23½,23½,23½,CD
41,242,1,1,0,242,242,242,CD
42,246,1,1,0,246,246,246,CD
43,25,1,1,0,25,25,25,CD
44,257,1,1,0,257,257,257,CD
45,263,1,1,0,263,263,263,CD
46,270,1,1,0,270,270,270,CD
47,272,1,1,0,272,272,272,CD
48,274,1,1,0,274,274,274,CD
49,28,1,1,0,28,28,28,CD
50,281,1,1,0,281,281,281,CD
51,281314,1,1,0,281314,281314,281314,JJ
52,283,1,1,0,283,283,283,CD
53,285,1,1,0,285,285,285,CD
54,295,1,1,0,295,295,295,CD
55,3,2,1,0,3,3,3,CD
56,30,1,1,0,30,30,30,CD
57,314,1,1,0,314,314,314,CD
58,34,1,1,0,34,34,34,CD
59,341,1,1,0,341,341,341,CD
60,350,1,1,0,350,350,350,CD
61,360,1,1,0,360,360,360,CD
62,361,1,1,0,361,361,361,CD
63,366,1,1,0,366,366,366,CD
64,377,1,1,0,377,377,377,CD
65,388,1,1,0,388,388,388,CD
66,397,1,1,0,397,397,397,CD
67,399,1,1,0,399,399,399,CD
68,4,1,1,0,4,4,4,CD
69,401st,1,1,0,401st,401st,401st,CD
70,406,2,1,0,406,406,406,CD
71,409,1,1,0,409,409,409,CD
72,43,1,1,0,43,43,43,CD
73,460,1,1,0,460,460,460,CD
74,462,1,1,0,462,462,462,CD
75,462563,1,1,0,462563,462563,462563,JJ
76,468,1,1,0,468,468,468,CD
77,47,3,1,0,47,47,47,CD
78,48th,1,1,0,48th,48th,48th,CD
79,493,1,1,0,493,493,493,CD
80,5,2,1,0,5,5,5,CD
81,510,1,1,0,510,510,510,CD
82,5157,1,1,0,5157,5157,5157,JJ
83,57,1,1,0,57,57,57,CD
84,576,1,1,0,576,576,576,CD
85,58,1,1,0,58,58,58,CD
86,6,1,1,0,6,6,6,CD
87,60,1,1,0,60,60,60,CD
88,600,1,1,0,600,600,600,CD
89,620,1,1,0,620,620,620,CD
90,661,1,1,0,661,661,661,CD
91,691,1,1,0,691,691,691,CD
92,694,1,1,0,694,694,694,CD
